name,category
L'encas Des Gourmands,traiteur
Boulangerie Le B,biscuits-gateaux-patisserie
Boulangerie Le B,boulangerie
Moulin Decollogne,cereales-farines-graines
Le Chant Boréal,poissons-mollusques-crustaces
Le Chant Boréal,traiteur
La Ruche à Pain,boulangerie
Brullebaut,legumes
V'la Le Vrac,aperitif
V'la Le Vrac,cafe-the-infusions
V'la Le Vrac,cereales-farines-graines
V'la Le Vrac,condiments-huiles-epices
Reflet D'abeilles,confitures-miel-confiseries
Moulin Du Foulon,cereales-farines-graines
La Réserve Bio,aperitif
La Réserve Bio,biscuits-gateaux-patisserie
La Réserve Bio,cafe-the-infusions
La Réserve Bio,cereales-farines-graines
Safran des Aulnes,condiments-huiles-epices
Safran des Aulnes,confitures-miel-confiseries
Le Fournil Des Diablotins,
Ferme Des Mignotines,viande-charcuterie-escargots
Ferme Des Mignotines,cosmetiques
Ferme Des Mignotines,paniers-composes
Ferme Des Mignotines,produits-laitier-oeufs
Ferme Cul De Sac,produits-laitier-oeufs
Ferme Hazotte,viande-charcuterie-escargots
Ferme Hazotte,traiteur
Brasserie Belenium - Beaune,boissons-alcoolisees
Cidrerie Eclectik,boissons-alcoolisees
Cidrerie Eclectik,boissons-sans-alcool
Origine Gourmande,confitures-miel-confiseries
Ruchers De Borne,confitures-miel-confiseries
Gaec Verstraete,viande-charcuterie-escargots
Châtaigne & Co.,confitures-miel-confiseries
Châtaigne & Co.,fruits-secs
Miel Des Côteaux De L'albane,confitures-miel-confiseries
Les Abeilles De La Vouge,confitures-miel-confiseries
Les Abeilles De La Vouge,maison-entretien
Variot-apiculture,biscuits-gateaux-patisserie
Variot-apiculture,confitures-miel-confiseries
Variot-apiculture,maison-entretien
Ferme De Sous La Velle,aperitif
Ferme De Sous La Velle,viande-charcuterie-escargots
Ferme De Sous La Velle,traiteur
Gabrielle Pâtisseries,biscuits-gateaux-patisserie
Gabrielle Pâtisseries,boulangerie
Gabrielle Pâtisseries,traiteur
Gaec De La Seine,viande-charcuterie-escargots
Gaec De La Seine,condiments-huiles-epices
Chevrerie De Blancey,confitures-miel-confiseries
Chevrerie De Blancey,produits-laitier-oeufs
Fromagerie Du Petit Chêne,produits-laitier-oeufs
Oze Apiculture,confitures-miel-confiseries
Domaine Durand Loic,boissons-alcoolisees
scea dubreuil,produits-laitier-oeufs
Sheep'iie,cosmetiques
Sheep'iie,maison-entretien
Sheep'iie,hygiene
Oceane Cafe,cafe-the-infusions
Oceane Cafe,confitures-miel-confiseries
Ferme Cérès,boulangerie
Ferme Cérès,cereales-farines-graines
Ferme Cérès,legumes
Fromagerie Gaugry,produits-laitier-oeufs
Les Ruchers De Darbois,biscuits-gateaux-patisserie
Les Ruchers De Darbois,condiments-huiles-epices
Les Ruchers De Darbois,confitures-miel-confiseries
Les ânesses De La Côte Du Puits,cosmetiques
La Ferme Du Rabutin,cereales-farines-graines
La Ferme Du Rabutin,viande-charcuterie-escargots
La Ferme Du Rabutin,legumes
La Ferme Du Rabutin,produits-laitier-oeufs
Les P'tits Chap'ô,champignons
Elevage Des Alpagas De  La Tille,atelier-artisanat-culture
Elevage Des Alpagas De  La Tille,confitures-miel-confiseries
Elevage Des Alpagas De  La Tille,vetements
Elbf Cosmetique,cosmetiques
Jean-françois Blaise,animaux
Jean-françois Blaise,cereales-farines-graines
Jean-françois Blaise,condiments-huiles-epices
Le Farfadet,biscuits-gateaux-patisserie
Le Farfadet,fruits
Le Farfadet,produits-laitier-oeufs
Strega Della Veda,cosmetiques
Thibaut Gillot,fruits
Thibaut Gillot,legumes
Domaine Olivier Van Hecke,boissons-alcoolisees
Armand Heitz,aperitif
Armand Heitz,boissons-alcoolisees
Armand Heitz,viande-charcuterie-escargots
Armand Heitz,confitures-miel-confiseries
Fred Traiteur,traiteur
Laquina (lycée Agricole De La Barotte),cosmetiques
Laquina (lycée Agricole De La Barotte),hygiene
Le Potager D'ida Et Bertrand,legumes
Le Potager D'ida Et Bertrand,paniers-composes
Le Potager D'ida Et Bertrand,plantes-aromatiques-medicinales
Le Potager D'ida Et Bertrand,produits-laitier-oeufs
Le Potager De La Borde,fleurs-arbres
Le Potager De La Borde,fruits
Le Potager De La Borde,legumes
Le Potager De La Borde,plants-graines
Scea Etablissements Marchand,fleurs-arbres
Earl La Grange Aux Volailles,volailles-gibiers
Earl Apidae,confitures-miel-confiseries
F . Malin,traiteur
La Boite à T'oeufs,cereales-farines-graines
Savonnerie Badiane,atelier-artisanat-culture
Savonnerie Badiane,cours-visites
Savonnerie Badiane,cosmetiques
Savonnerie Badiane,hygiene
Domaine   Bougaud,boissons-alcoolisees
G'apicole - Les Ruches De La Courtavaux,confitures-miel-confiseries
Earl Des Grandes Vignes,cereales-farines-graines
Domaine Du Clos Des Poulettes,boissons-alcoolisees
Domaine Gachot-monot,boissons-alcoolisees
Gougere & Meurette Traiteur,aperitif
Gougere & Meurette Traiteur,condiments-huiles-epices
Gougere & Meurette Traiteur,traiteur
Domaine Philippe Robert,boissons-alcoolisees
Epatantes de Bourgogne,cereales-farines-graines
Epatantes de Bourgogne,traiteur
Brasserie Elixkir,
Fromagerie De Dampierre-en-montagne,produits-laitier-oeufs
Brasserie Des 38 Pintes 1/2,boissons-alcoolisees
Brasserie Des 38 Pintes 1/2,boissons-sans-alcool
Coeur De Bourgogne,viande-charcuterie-escargots
Earl De La Creusotte,viande-charcuterie-escargots
Ferme Du Poiset,produits-laitier-oeufs
A Fleur de Miel,confitures-miel-confiseries
Au Gramme Près,aperitif
Au Gramme Près,biscuits-gateaux-patisserie
Au Gramme Près,boissons-alcoolisees
Au Gramme Près,boissons-sans-alcool
De Point En Point,atelier-artisanat-culture
De Point En Point,hygiene
Druydès,animaux
Druydès,cosmetiques
Envie De Pâtes,biscuits-gateaux-patisserie
Envie De Pâtes,cereales-farines-graines
Envie De Pâtes,traiteur
Fruimalin,biscuits-gateaux-patisserie
Fruimalin,boissons-sans-alcool
Fruimalin,confitures-miel-confiseries
Futura Food,aperitif
La Ferme De Bray,cereales-farines-graines
La Ferme De Bray,viande-charcuterie-escargots
La Ferme De Bray,condiments-huiles-epices
La Ferme De Bray,legumes
Le Coq En Pâte,traiteur
Le Goût Des Sens,cafe-the-infusions
Le Potager Des Ducs,legumes
Les Douceurs Du Colibri,biscuits-gateaux-patisserie
Miellerie Degrâce,boissons-alcoolisees
Miellerie Degrâce,complements-alimentaires
Miellerie Degrâce,confitures-miel-confiseries
Le Jardin Des Illottes,legumes
Rucher De La Forêt,condiments-huiles-epices
Rucher De La Forêt,confitures-miel-confiseries
Rucher De La Forêt,champignons
Ferme De La Goutte D'or,cereales-farines-graines
Ferme De La Goutte D'or,condiments-huiles-epices
Earl De La Vallée Du Serein,legumes
L'escargot De La Coquille,viande-charcuterie-escargots
Ferme Des Quintefeuilles,produits-laitier-oeufs
Ferme Du Mont Lassois,cereales-farines-graines
Ferme Du Mont Lassois,condiments-huiles-epices
Ferme Du Mont Lassois,produits-laitier-oeufs
Ferme la Bussière,viande-charcuterie-escargots
La Ferme Du Clos Simonin,viande-charcuterie-escargots
A Edelweiss,complements-alimentaires
A Edelweiss,condiments-huiles-epices
A Edelweiss,cosmetiques
A Edelweiss,fleurs-arbres
Ruchers Vergers D’alésia,boissons-sans-alcool
Ruchers Vergers D’alésia,confitures-miel-confiseries
La Ferme Du Faubourg,foie-gras-confits
La Ferme Du Faubourg,volailles-gibiers
Bergerie Du Bas De Gouey,viande-charcuterie-escargots
Le Rhubarbiculteur Des Hautes Côtes,legumes
La Petite Semeuse,legumes
Pascale Allaguillaume,legumes
Pascale Allaguillaume,paniers-composes
Pascale Allaguillaume,plants-graines
La Ferme De Bâlon,animaux
La Ferme De Bâlon,atelier-artisanat-culture
La Ferme De Bâlon,biscuits-gateaux-patisserie
La Ferme De Bâlon,viande-charcuterie-escargots
Ferme Du Pontot,produits-laitier-oeufs
Husson Traiteur,aperitif
Husson Traiteur,biscuits-gateaux-patisserie
Husson Traiteur,traiteur
Le Noir De Bourgogne,viande-charcuterie-escargots
Le Noir De Bourgogne,traiteur
Earl De Borgirault,
Laurence Bruey,champignons
Le Potager De La Charme,legumes
Ferme De La Petite Montagne,boissons-sans-alcool
Ferme De La Petite Montagne,cereales-farines-graines
Ferme De La Petite Montagne,condiments-huiles-epices
Ferme De La Petite Montagne,confitures-miel-confiseries
La Ferme Du Pont,boissons-alcoolisees
La Ferme Du Pont,viande-charcuterie-escargots
La Ferme Du Pont,condiments-huiles-epices
La Ferme Du Pont,fleurs-arbres
Boulangerie Du Cheval Gris,biscuits-gateaux-patisserie
Boulangerie Du Cheval Gris,boulangerie
Gigon,confitures-miel-confiseries
La Grange Rocheloise,traiteur
Juat Eco Friendly,atelier-artisanat-culture
Juat Eco Friendly,cosmetiques
Juat Eco Friendly,vetements
Juat Eco Friendly,maison-entretien
Earl Des Acacias,legumes
Aux Herbes!,aperitif
Aux Herbes!,boissons-sans-alcool
Aux Herbes!,cafe-the-infusions
Aux Herbes!,condiments-huiles-epices
La Ferme De Neuvelle,cereales-farines-graines
La Ferme De Neuvelle,fruits
La Ferme De Neuvelle,legumes
Le Verger Des Bonnevie,boissons-sans-alcool
Le Verger Des Bonnevie,fruits
Aux Rythmes De La Terre,boissons-sans-alcool
Aux Rythmes De La Terre,condiments-huiles-epices
Aux Rythmes De La Terre,confitures-miel-confiseries
Aux Rythmes De La Terre,plantes-aromatiques-medicinales
Poissonnerie Nirvana,poissons-mollusques-crustaces
Poissonnerie Nirvana,traiteur
Brasserie Des Ducs,boissons-alcoolisees
Le Rucher De L'ours Brun,confitures-miel-confiseries
Brin D'ortie,boissons-sans-alcool
Brin D'ortie,cafe-the-infusions
Brin D'ortie,condiments-huiles-epices
Brin D'ortie,fleurs-arbres
Cafés Biacelli,cafe-the-infusions
La Chouette Fabrique,aperitif
La Chouette Fabrique,biscuits-gateaux-patisserie
Brasserie Artisanale La Luxoise,boissons-alcoolisees
Le Jardin De L'hêtre,fleurs-arbres
Le Jardin De L'hêtre,fruits
Le Jardin De L'hêtre,legumes
Le Jardin De L'hêtre,plantes-aromatiques-medicinales
Gaec Belmont,cereales-farines-graines
Gaec Belmont,legumes
Aux Goûts Liés,boulangerie
Earl De Bonvent,cereales-farines-graines
Rucher De Fontenay,biscuits-gateaux-patisserie
Rucher De Fontenay,confitures-miel-confiseries
La Ferme De Martrois,viande-charcuterie-escargots
Domaine Brigand G.,boissons-alcoolisees
Earl Guillemard-pothier,boissons-alcoolisees
Artisan Boulanger Bio L'ami Du Levain,boulangerie
La Ferme Des Marcs D'or,boissons-alcoolisees
La Ferme Des Marcs D'or,boissons-sans-alcool
La Ferme Des Marcs D'or,fruits
La Ferme Des Marcs D'or,legumes
L'escargot B,
La Rose D Or,plantes-aromatiques-medicinales
La Rose D Or,plants-graines
3deltafr,atelier-artisanat-culture
Salaisons Du Morvan,viande-charcuterie-escargots
Fromagerie Rouaud,produits-laitier-oeufs
Gaec Colson,biscuits-gateaux-patisserie
Gaec Colson,produits-laitier-oeufs
La Mobil’oeufs,produits-laitier-oeufs
La Fée Végé,cours-visites
La Fée Végé,biscuits-gateaux-patisserie
La Fée Végé,traiteur
Le Moulin De Leopaul,cereales-farines-graines
Elevage Des Coteaux,volailles-gibiers
Crémant Claude Gheeraert,boissons-alcoolisees
Distillerie A.méan,aperitif
Distillerie A.méan,boissons-alcoolisees
Les Volailles D'anne-marie,produits-laitier-oeufs
Les Volailles D'anne-marie,volailles-gibiers
Earl De La Bergerie,viande-charcuterie-escargots
Earl De La Bergerie,traiteur
Fromages Fermiers De La Vallée De La Bèze,produits-laitier-oeufs
Domaine Aubrun-maupoil,boissons-alcoolisees
Brasserie Nova Villa,boissons-alcoolisees
Domaine Guillaume Legou,boissons-alcoolisees
Ferme Fruirouge,aperitif
Ferme Fruirouge,boissons-alcoolisees
Ferme Fruirouge,boissons-sans-alcool
Ferme Fruirouge,condiments-huiles-epices
Ferme Nova Villa,boissons-alcoolisees
Ferme Nova Villa,produits-laitier-oeufs
Snc La Ferme Des Marronniers,produits-laitier-oeufs
Snc La Ferme Des Marronniers,traiteur
L'épicerie De Virginie,aperitif
L'épicerie De Virginie,biscuits-gateaux-patisserie
L'épicerie De Virginie,cereales-farines-graines
L'épicerie De Virginie,condiments-huiles-epices
Domaine Denis,boissons-alcoolisees
Brasserie La Source,boissons-alcoolisees
L'arbre Tordu,atelier-artisanat-culture
L'arbre Tordu,fleurs-arbres
L'arbre Tordu,plantes-aromatiques-medicinales
L'arbre Tordu,plants-graines
Lycée Agricole,aperitif
Lycée Agricole,biscuits-gateaux-patisserie
Lycée Agricole,boissons-sans-alcool
Lycée Agricole,cereales-farines-graines
Miss Demoiselles,atelier-artisanat-culture
Sarl Vincent Debut,biscuits-gateaux-patisserie
Sarl Vincent Debut,traiteur
Sebastien Henon Chocolatier Confiseur,biscuits-gateaux-patisserie
Mél'anges Pâtisserie,biscuits-gateaux-patisserie
Mél'anges Pâtisserie,boulangerie
La P'tite Ferme,cereales-farines-graines
La P'tite Ferme,viande-charcuterie-escargots
La P'tite Ferme,confitures-miel-confiseries
La P'tite Ferme,foie-gras-confits
Déliceries,biscuits-gateaux-patisserie
Microbrasserie La Clé De Voute,boissons-alcoolisees
Pascal Laprée,cereales-farines-graines
Pascal Laprée,viande-charcuterie-escargots
Pascal Laprée,foie-gras-confits
Pascal Laprée,traiteur
Pré Vert,condiments-huiles-epices
Pré Vert,legumes
La Safranerie Templière,condiments-huiles-epices
La Safranerie Templière,cosmetiques
Cook Evénement,aperitif
Cook Evénement,biscuits-gateaux-patisserie
Cook Evénement,foie-gras-confits
Cook Evénement,traiteur
Ferme Des Capri-rêves,produits-laitier-oeufs
Lamandine,cafe-the-infusions
Lamandine,cosmetiques
Terra Nova,legumes
Fabrice Maître,fruits
Fabrice Maître,legumes
Les Jardins Du Basmont,legumes
Les Jardins Du Basmont,plantes-aromatiques-medicinales
Les Jardins Du Basmont,plants-graines
Viard Françoise,legumes
Viard Françoise,plantes-aromatiques-medicinales
Les Champs Du Destin,biscuits-gateaux-patisserie
Les Champs Du Destin,boissons-alcoolisees
Les Champs Du Destin,boulangerie
Les Champs Du Destin,cereales-farines-graines
Frost,legumes
La Brigade Des épices,condiments-huiles-epices
Les Créas D'angie,atelier-artisanat-culture
Les Créas D'angie,vetements
Les Créas D'angie,hygiene
Mairet Creations,biscuits-gateaux-patisserie
Mairet Creations,confitures-miel-confiseries
Savonnerie Bella Ciao,cosmetiques
Cha'patiss,aperitif
Cha'patiss,biscuits-gateaux-patisserie
Cha'patiss,boissons-sans-alcool
Cha'patiss,boulangerie
Le Shop Zéro Déchet,atelier-artisanat-culture
Le Shop Zéro Déchet,cosmetiques
Le Shop Zéro Déchet,vetements
Le Shop Zéro Déchet,maison-entretien
Com'1 Chou Pâtisserie,boulangerie
Le Meix D'or Bio,condiments-huiles-epices
Le Meix D'or Bio,legumes
Les Brassages Du Meix,boissons-alcoolisees
Les Brassages Du Meix,condiments-huiles-epices
Les Brassages Du Meix,maison-entretien
Moulin Maurice Anne Sophie,cereales-farines-graines
Abbaye De Citeaux,biscuits-gateaux-patisserie
Abbaye De Citeaux,produits-laitier-oeufs
La Ferme Du Colombier,produits-laitier-oeufs
Sas Marc Billotte Moulins De Ravieres,biscuits-gateaux-patisserie
Sas Marc Billotte Moulins De Ravieres,cereales-farines-graines
Fourcade Laurence,viande-charcuterie-escargots
Les Volailles De Rochefontaine,produits-laitier-oeufs
Les Volailles De Rochefontaine,volailles-gibiers
Association Gren - Le Jardin Du Viaduc,fruits
Association Gren - Le Jardin Du Viaduc,legumes
Association Gren - Le Jardin Du Viaduc,paniers-composes
L'abeille De Saulieu,confitures-miel-confiseries
Apis Olira,cosmetiques
Poul'et Compagnie,confitures-miel-confiseries
Poul'et Compagnie,volailles-gibiers
Henri De Villamont,boissons-alcoolisees
Les Diableries,boissons-sans-alcool
Les Diableries,confitures-miel-confiseries
Les Diableries,traiteur
La Corne Vaudrille,produits-laitier-oeufs
Chez Elsa & Nicolas,biscuits-gateaux-patisserie
Chez Elsa & Nicolas,traiteur
Marmelure & Confitade,confitures-miel-confiseries
Les Petits Péchés Bourguignons,produits-laitier-oeufs
Brasserie Petitdemange Bière Du Fournil,boissons-alcoolisees
La Note Du Colibri,aperitif
La Note Du Colibri,biscuits-gateaux-patisserie
La Note Du Colibri,boissons-sans-alcool
La Note Du Colibri,condiments-huiles-epices
L'escargot D'isa,viande-charcuterie-escargots
La Champignonnière De Tanay,champignons
La Main à La Pâte,aperitif
La Main à La Pâte,biscuits-gateaux-patisserie
Domaine Aurélien Febvre,boissons-alcoolisees
Chevrerie De Val-mont,produits-laitier-oeufs
Un Groin De Paradis,viande-charcuterie-escargots
Sas Chargueros Et Associes,viande-charcuterie-escargots
Brasserie Hop'art,boissons-alcoolisees
L'escargot bourguignon,animaux
L'escargot bourguignon,aperitif
L'escargot bourguignon,cours-visites
L'escargot bourguignon,viande-charcuterie-escargots
Aux Portes De L'acacia,boissons-alcoolisees
Truites de l'Aube,aperitif
Truites de l'Aube,poissons-mollusques-crustaces
Truites de l'Aube,traiteur
Dam’s Creation,atelier-artisanat-culture
Domaine Jérôme Massé,boissons-alcoolisees
Les Creations De Stouf,atelier-artisanat-culture
Les Creations De Stouf,vetements
Les Creations De Stouf,maison-entretien
Les Creations De Stouf,hygiene
Brasserie Burgonde,boissons-alcoolisees
Brasserie Burgonde,foie-gras-confits
Brasserie Burgonde,paniers-composes
La Fabrique à Tofu,traiteur
Le Jardin Du Ti Bout,fleurs-arbres
Le Jardin Du Ti Bout,fruits
Le Jardin Du Ti Bout,legumes
Le Jardin Du Ti Bout,plantes-aromatiques-medicinales
Bernard Rion,aperitif
Bernard Rion,boissons-alcoolisees
Bernard Rion,boissons-sans-alcool
Bernard Rion,condiments-huiles-epices
Domaine Mongeard-mugneret,boissons-alcoolisees
Ferme De La Mouillotte,viande-charcuterie-escargots
Ferme De La Mouillotte,produits-laitier-oeufs
Chez Mathurin,viande-charcuterie-escargots
